"t","S","N"
431,640987.003093559,20
432,641491.2287144604,16
433,642013.5184931196,15
434,642560.1556148442,16
435,643132.7108759609,17
436,643732.7550727963,18
437,644355.5758163707,17
438,644983.8943470888,16
439,645635.7748227086,16
440,646293.9384836357,16
441,646863.3521520987,15
442,647457.1131636271,16
443,648076.7923145477,17
444,648723.9604011873,18
445,649391.5488400751,18
446,650023.0089634467,18
447,650674.8894390664,18
448,651285.9292101896,18
449,651893.8273886592,18
450,652523.7167157042,18
451,653169.3140060172,18
452,653797.6325367348,18
453,654452.6546050081,18
454,655047.9864128634,16
455,655524.7230980457,15
456,655985.7518199598,15
457,656467.2008941226,15
458,656932.9420050174,15
459,657403.3955048922,15
460,657898.1963478328,16
461,658375.7184311784,16
462,658845.38653289,16
463,659302.4882639875,16
464,659785.5081344768,17
465,660293.6607461949,17
466,660826.9460991418,17
467,661387.7203878075,18
468,661977.5544085192,19
469,662482.5654275834,19
470,662850.1317680535,18
471,663215.3419140332,17
472,663557.7755132745,16
473,663908.8484923132,15
474,664258.350675025,15
475,664632.2002008022,16
476,665031.9678659715,17
477,665368.1182799055,16
478,665682.2775452647,16
479,665967.3770785779,15
480,666276.8239549564,16
481,666574.4898588841,15
482,666889.4345224065,15
483,667215.3747602166,15
484,667538.1734053727,15
485,667825.6291331763,14
486,668116.2264536334,14
487,668419.3901447046,14
488,668719.4122431226,14
489,669026.502925011,13
490,669279.401133625,12
491,669491.4586377422,12
492,669612.4099549055,10
493,669749.8546335002,11
494,669905.3634698527,12
495,670078.1510658001,12
496,670219.5227352116,10
497,670377.3877660546,11
498,670553.3169546556,12
499,670727.6753469299,12
500,670921.6686932889,13
501,671136.8677900598,14
502,671374.8434335693,15
503,671628.5270403468,15
504,671852.3655169151,13
505,672053.4274467446,12
506,672230.1420335091,11
507,672399.0026386396,11
508,672585.9274015281,12
509,672790.1309240115,12
510,672941.7127695472,11
511,673111.358772841,12
512,673300.6397302196,13
513,673511.1264380104,14
514,673738.8919053957,14
515,673989.4339195192,15
516,674191.2812475124,13
517,674414.3343259173,14
518,674606.7568759497,13
519,674820.3851763939,14
520,675046.5798474522,14
521,675295.5510652491,15
522,675568.8696261116,16
523,675847.6859741178,15
524,676114.721349673,14
525,676344.8430115484,13
526,676596.1704238357,14
527,676858.4934104105,14
528,677138.0951565797,14
529,677356.4358460043,12
530,677582.6305170628,12
531,677802.5420028141,12
532,677948.6260612061,10
533,678111.2034810295,11
534,678272.2101045258,11
535,678447.3538949635,11
536,678640.5618431594,12
537,678853.40474544,13
538,679087.4533981326,14
539,679316.004263681,13
540,679565.7608796414,14
541,679838.2940423405,15
542,680076.2696858498,15
543,680326.8116999735,15
544,680601.7010571627,16
545,680834.9643116917,15
546,681051.7342047893,14
547,681277.1434776842,13
548,681500.9819542527,13
549,681746.0261812326,14
550,681989.4996118859,14
551,682255.7495892775,15
552,682500.7938162575,14
553,682744.2672469108,14
554,683004.2340389956,13
555,683235.1410990342,12
556,683485.6831131579,13
557,683757.4308776936,14
558,684049.5989944773,14
559,684296.9994159474,13
560,684545.1852355811,12
561,684813.0060092995,13
562,685066.6896160768,13
563,685341.578973266,14
564,685549.7094865664,13
565,685779.0457502784,14
566,685976.1806892912,13
567,686182.7404062647,13
568,686395.5833085454,13
569,686629.6319612379,14
570,686847.187252499,13
571,687074.167321721,13
572,687264.2336772631,12
573,687473.9349868903,13
574,687648.2933791644,12
575,687842.2867255234,13
576,688029.2114884121,12
577,688235.7712053857,13
578,688437.6185333789,13
579,688621.4017036138,12
580,688747.8508079209,11
581,688886.8662828422,11
582,689017.2423779661,10
583,689164.1118345216,11
584,689329.0454488351,12
585,689500.2622484557,12
586,689691.1140021613,13
587,689883.5365521937,13
588,690091.6670654939,13
589,690309.2223567549,13
590,690547.9833984281,14
591,690775.7488658131,14
592,690968.9568140086,14
593,691184.9413089432,15
594,691356.1581085639,12
595,691547.0098622693,13
596,691759.0673663866,14
597,691993.9014172426,15
598,692217.7398938107,15
599,692451.0031483397,15
600,692672.4854304178,14
601,692858.6247951431,13
602,693065.9699102801,14
603,693285.095997868,13
604,693525.4278358675,14
605,693764.9742757038,13
606,694025.7264659518,14
607,694264.4875076247,14
608,694468.691030108,12
609,694692.5295066762,13
610,694893.5914365061,12
611,695105.6489406233,12
612,695337.3413988255,13
613,695547.0427084528,13
614,695777.9497684917,14
615,696031.6333752689,15
616,696309.6643251115,16
617,696611.2572198563,16
618,696915.9917072544,14
619,697192.4518607702,12
620,697488.546968371,13
621,697764.2217237236,13
622,698061.1022294876,14
623,698356.411938925,14
624,698674.4981951013,15
625,698974.5202935188,14
626,699224.2769094792,14
627,699496.8100721781,15
628,699775.6264201843,15
629,700078.7901112556,16
630,700389.8077839612,16
631,700622.2856403268,14
632,700873.6130526139,14
633,701080.9581677509,14
634,701263.170541659,12
635,701465.0178696522,13
636,701682.5731609132,13
637,701921.3342025861,14
638,702142.8164846642,14
639,702349.3762016377,13
640,702566.9314928987,13
641,702794.6969602839,12
642,703006.7544644014,12
643,703225.0951538258,12
644,703375.1062030348,11
645,703512.5508816292,11
646,703668.059717982,12
647,703818.8561653544,12
648,703952.3738531319,12
649,704105.5264949944,13
650,704279.8848872687,14
651,704416.5441676998,12
652,704572.8384022157,13
653,704743.2698036731,13
654,704923.1259830911,13
655,705104.552958836,13
656,705298.5463051952,13
657,705508.2476148222,13
658,705706.9533501616,13
659,705926.8648359131,14
660,706135.7807473767,12
661,706364.3316129253,13
662,706573.2475243891,12
663,706787.6612229967,11
664,706936.1014758787,9
665,707099.4642938653,10
666,707270.681093486,10
667,707445.0394857603,10
668,707635.8912394658,11
669,707844.8071509295,12
670,708061.5770440274,12
671,708295.6256967197,12
672,708507.683200837,12
673,708726.0238902615,12
674,708955.3601539737,12
675,709201.9751772805,12
676,709408.534894254,11
677,709633.1587689857,12
678,709857.7826437174,12
679,710033.7118323185,12
680,710200.2162429587,10
