"t","S, м²","N активних","T життя, с"
286,0.05610955165146076,30,9.5
287,0.0562060770857423,29,10
288,0.056306686590473526,29,7
289,0.056410280608225644,29,14.5
290,0.05651112573240588,28,16
291,0.05661322749364755,28,8
292,0.05671980602442057,29,15
293,0.05682952614784719,29,31
294,0.05694388012043786,30,13
295,0.05705524958000763,30,14.5
296,0.0571714099683741,31,9
297,0.057280580313086346,30,12
298,0.05739454158659532,31,2
299,0.057499863480306924,29,6.5
300,0.057600472985038134,29,11.5
301,0.057705716338933385,30,11.5
302,0.057809703055767214,28,5
303,0.05791816654213241,29,3
304,0.05803126387766164,30,9.5
305,0.05814608908915034,30,18.5
306,0.05826570522943577,31,7
307,0.05837039880461666,29,11.5
308,0.05847972622896159,30,19
309,0.05859282356449081,30,17
310,0.0587032505462645,30,7
311,0.058818468456834916,31,16.5
312,0.0589348644646504,30,19.5
313,0.05905110339283322,30,2.5
314,0.05916270847185202,29,3.5
315,0.05927894740003485,30,2
316,0.059394400930054256,30,2.5
317,0.0595146453888704,31,1
318,0.059634340068972176,30,2.5
319,0.05975772612044192,29,6.5
320,0.059865247129011014,27,29
321,0.059971197341253335,25,9
322,0.06007125706727018,24,0.5
323,0.06015859334303996,20,8.5
324,0.060229043558296724,17,3.5
325,0.06030224266712537,18,4.5
326,0.06037834774915859,19,1.5
327,0.060457515884029055,20,5.5
328,0.06052286101122372,20,14
329,0.06059087649217394,20,14
330,0.06065842073422613,20,28
331,0.06072800701150311,20,12.5
332,0.06079869284620889,20,4
333,0.06086325257524016,20,13
334,0.0609192514642904,19,5.5
335,0.06097831340617788,20,3.5
336,0.0610405954805353,21,1
337,0.06109643728995287,21,17
338,0.06115345719661554,20,0.5
339,0.061210555643094515,19,6.5
340,0.06125681559491863,17,6
341,0.06130582444031463,18,11
342,0.06135067067544463,17,3.5
343,0.061392846556819064,17,0.5
344,0.061432273544621614,16,2
345,0.06147248593058758,16,16.5
346,0.06150924256463459,16,4.5
347,0.06154859101262079,17,7.5
348,0.061589981495831836,17,1.5
349,0.06163294277536968,17,27.5
350,0.06167865294847941,18,15
351,0.06172051467058848,17,8.5
352,0.06176104121581978,16,13.5
353,0.0618041595749903,17,2
354,0.061850026827732725,18,7.5
355,0.061887490320126776,17,3.5
356,0.061919220405928024,16,11
357,0.06194835867779007,15,4
358,0.06197993168395865,16,1
359,0.06200993389380044,16,0.5
360,0.06204189959905071,15,2.5
361,0.06207630003860751,16,0.5
362,0.06210944384110288,14,5
363,0.06214133100653682,14,1
364,0.062175495826644604,15,4
365,0.06220950356711971,13,9.5
366,0.062245631882636,14,15
367,0.06228403785282615,15,30
368,0.0623221296637509,15,1.5
369,0.06236022147467569,15,7
370,0.062400748019907006,16,2.5
371,0.062437897353035704,15,2.5
372,0.06247449690745002,14,3
373,0.06251337411653822,15,18.5
374,0.0625546860599329,16,1.5
375,0.06259772587928711,16,7
376,0.06264249357460078,16,4.5
377,0.06268930330513924,16,14.5
378,0.06271969821406272,13,10.5
379,0.0627478940081287,13,9.5
380,0.06277341944843912,13,10.5
381,0.06280106546379069,14,2
382,0.06283098913381616,15,3
383,0.06286106988347427,15,13
384,0.06289052231460168,15,1.5
385,0.06292021036517809,14,7
386,0.06294330107118198,14,4
387,0.06296811965314532,14,3
388,0.06299419487217009,14,3
389,0.06302027009119493,14,2
390,0.06304862296489358,15,2.5
391,0.06307941057289874,16,0.5
392,0.06311255437539413,16,8.5
393,0.0631465621158692,15,4
394,0.06318064839616068,14,13.5
395,0.06321614839314624,14,3.5
396,0.06324913511600895,14,11.5
397,0.06328439949354547,15,24
398,0.06331903555255132,15,12
399,0.06335045147908722,14,13
400,0.06338414506029698,15,1.5
401,0.06341556098683288,14,1.5
402,0.06344807647079752,14,11
403,0.06348231983072168,14,25.5
404,0.06350957314699154,13,8.5
405,0.06353894703830262,14,2.5
406,0.06356596473512349,14,2.5
407,0.06359526008661821,15,10
408,0.06362699017241949,16,6.5
409,0.06365440056832206,15,6
410,0.06367749127432597,14,5
411,0.06370199569702395,14,7
412,0.0637287777743958,15,4
413,0.0637579945860742,16,4.5
414,0.06378980321169181,17,18
415,0.06382436073088128,18,9
416,0.06386182422327534,19,2.5
417,0.06390235076850664,20,9.5
418,0.06394609744620787,21,22.5
419,0.06398952996464374,21,3.5
420,0.06403335518216134,20,5
421,0.06406838394024887,16,4.5
