"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
192,0.000825789245509724,193,156,3.5078316711636514e-7
193,0.0008429927262613032,194,441,3.5078316711636514e-7
194,0.0008604636138817675,195,318,3.5078316711636514e-7
195,0.000878204665118673,196,350,3.5078316711636514e-7
196,0.0008962186508567387,197,312,3.710158092036467e-7
197,0.0009145083561178515,198,398,3.710158092036467e-7
198,0.0009330765800610668,199,234,3.710158092036467e-7
199,0.0009519261359826058,200,230,3.710158092036467e-7
200,0.0009710598513158559,201,423,3.710158092036467e-7
201,0.0009904805676313729,202,219,3.920118583057506e-7
202,0.0010101911406368803,203,418,3.920118583057506e-7
203,0.0010301944401772637,204,581,4.13785451589618e-7
204,0.0010504933502345822,205,449,4.13785451589618e-7
205,0.0010710907689280577,206,147,4.13785451589618e-7
206,0.0010919896085140803,207,212,4.13785451589618e-7
207,0.0011131927953862055,208,312,4.13785451589618e-7
208,0.0011347032700751588,209,593,4.13785451589618e-7
209,0.0011565239872488309,210,339,4.13785451589618e-7
210,0.0011786579157122793,211,488,4.3635072622219e-7
211,0.0012011080384077247,212,455,4.3635072622219e-7
212,0.0012237083237342267,211,589,4.3635072622219e-7
213,0.001246628026566792,212,407,4.3635072622219e-7
214,0.0012698701439848115,213,266,4.5972181937040774e-7
215,0.001293437687204843,214,230,4.5972181937040774e-7
216,0.0013173336815806133,215,602,4.5972181937040774e-7
217,0.0013415611666030144,216,217,4.5972181937040774e-7
218,0.001366123195900107,217,307,4.839128682012124e-7
219,0.0013910228372371132,218,86,4.839128682012124e-7
220,0.0014159195922358709,217,324,4.839128682012124e-7
221,0.0014411561363982528,218,316,4.839128682012124e-7
222,0.0014667355516266535,219,413,5.089380098815451e-7
223,0.0014926609339606307,220,474,5.089380098815451e-7
224,0.001518935393576917,221,250,5.089380098815451e-7
225,0.001545562054789399,222,111,5.34811381578347e-7
226,0.0015725440560491444,223,293,5.34811381578347e-7
227,0.001599884549944377,224,561,5.34811381578347e-7
228,0.0016275867032004925,225,459,5.34811381578347e-7
229,0.0016556536966800526,226,394,5.34811381578347e-7
230,0.0016840887253827862,227,506,5.34811381578347e-7
231,0.0017128949984455879,228,283,5.34811381578347e-7
232,0.0017420757391425241,229,425,5.615471204585595e-7
233,0.0017716341848848201,230,452,5.615471204585595e-7
234,0.001801573587220874,231,451,5.615471204585595e-7
235,0.0018318972118362498,232,545,5.615471204585595e-7
236,0.001862608338553677,233,301,5.615471204585595e-7
237,0.0018937102613330527,234,432,5.615471204585595e-7
238,0.0019252062882714404,235,390,5.615471204585595e-7
239,0.001957099741603075,236,499,5.615471204585595e-7
240,0.001989393957699349,237,482,5.891593636891234e-7
241,0.0020220922870688315,238,374,5.891593636891234e-7
242,0.002055198094357254,239,159,5.891593636891234e-7
243,0.0020887147583475135,240,352,5.891593636891234e-7
244,0.0021226456719596765,241,193,5.891593636891234e-7
245,0.0021569942422509803,242,152,6.1766224843698e-7
246,0.002191763890415818,243,422,6.1766224843698e-7
247,0.0022269580517857604,244,496,6.1766224843698e-7
248,0.002262580175829539,245,375,6.1766224843698e-7
249,0.0022986337261530544,246,444,6.470699118690706e-7
250,0.0023351221804993774,247,350,6.470699118690706e-7
251,0.0023720490307487384,248,530,6.470699118690706e-7
252,0.00240941778291854,249,533,6.470699118690706e-7
253,0.0024472319571633523,250,227,7.086561234537178e-7
254,0.002485495087774911,251,239,7.086561234537178e-7
255,0.0025242107231821134,252,329,7.086561234537178e-7
256,0.002563382425951034,253,222,7.086561234537178e-7
257,0.002603013772784907,254,293,7.086561234537178e-7
258,0.002643108354524132,255,367,7.408629459401567e-7
259,0.0026836697761462853,256,403,7.408629459401567e-7
260,0.0027247016567661,257,566,7.408629459401567e-7
261,0.0027662076296354806,258,232,7.408629459401567e-7
262,0.0028081913421434995,259,369,7.408629459401567e-7
263,0.002850656455816391,260,291,7.408629459401567e-7
264,0.002893606646317564,261,392,7.408629459401567e-7
265,0.0029370456034475876,262,556,7.740310957785941e-7
266,0.002980253655873766,261,440,7.740310957785941e-7
267,0.003023951549353482,262,401,7.740310957785941e-7
268,0.0030681429878244766,263,272,7.740310957785941e-7
269,0.003112831689361656,264,460,8.081747101359711e-7
270,0.00315802138617709,265,314,8.081747101359711e-7
271,0.003203715824620013,266,120,8.081747101359711e-7
272,0.003249918765176841,267,273,8.081747101359711e-7
273,0.0032966339824711415,268,421,8.43307926179229e-7
274,0.003343865265263658,269,206,8.794448810753088e-7
275,0.003391616416452295,270,387,8.794448810753088e-7
276,0.0034398912530721275,271,401,8.794448810753088e-7
277,0.0034886936062953986,272,148,9.165997119911517e-7
278,0.0035372249759465465,271,804,9.165997119911517e-7
279,0.003585499909170354,270,279,9.165997119911517e-7
280,0.0036343007049490644,271,578,9.165997119911517e-7
281,0.0036836311944549224,272,215,9.547865560936989e-7
282,0.003733495222997332,273,526,9.547865560936989e-7
283,0.0037838966500228725,274,345,9.547865560936989e-7
284,0.0038348393491152836,275,695,9.547865560936989e-7
285,0.0038863272079954726,276,516,9.547865560936989e-7
286,0.003938364128521517,277,573,9.547865560936989e-7
287,0.00399095402668866,278,759,9.940195505498912e-7
288,0.004044100832629309,279,391,9.940195505498912e-7
289,0.004097808490613045,280,221,0.0000010343128325266702
290,0.004152080959046606,281,118,0.0000010343128325266702
291,0.004206922210473906,282,337,0.0000010343128325266702
292,0.004262336231576016,283,283,0.0000010343128325266702
293,0.004318327023171194,284,529,0.000001075680539190977
294,0.0043748986002148365,285,510,0.000001075680539190977
295,0.004432054991799533,286,183,0.000001075680539190977
296,0.0044898002411550226,287,388,0.000001161695775249938
297,0.0045481384056482175,288,348,0.000001161695775249938
298,0.0046070735567832,289,191,0.000001161695775249938
299,0.004666609780201209,290,543,0.000001161695775249938
300,0.004726751175680668,291,413,0.000001161695775249938
301,0.004787501857137153,292,556,0.000001161695775249938
302,0.004848865952623402,293,218,0.000001161695775249938
303,0.004910847604329339,294,186,0.000001161695775249938
304,0.004973450968582039,295,542,0.000001161695775249938
305,0.005036407123479569,294,43,0.000001206371578978475
306,0.0050999896137774465,295,371,0.000001206371578978475
307,0.0051642026099399255,296,247,0.000001206371578978475
308,0.005229050296568433,297,163,0.000001206371578978475
309,0.005294536872401533,298,178,0.0000012521783560623042
310,0.0053606665503149785,299,143,0.0000012521783560623042
311,0.005427443557321687,300,372,0.0000012521783560623042
312,0.005494872134571749,301,471,0.0000012521783560623042
313,0.005561632502132966,300,117,0.0000012991302436683665
314,0.005629044298565866,301,531,0.0000012991302436683665
315,0.00569711177915769,302,300,0.0000012991302436683665
316,0.005765839213332847,303,271,0.0000012991302436683665
317,0.0058352308846529415,304,252,0.0000012991302436683665
318,0.005905291090816701,305,1096,0.0000013472413789636037
319,0.005976024143660057,306,168,0.0000013472413789636037
320,0.006047434369156089,307,31,0.0000013472413789636037
321,0.006118846246344457,306,628,0.0000013472413789636037
322,0.006190937826738386,307,615,0.0000013965258991149567
323,0.006262680980159682,306,372,0.0000013965258991149567
324,0.006335105066720063,307,397,0.0000013965258991149567
325,0.006408214426529783,308,371,0.0000013965258991149567
326,0.006482013413836254,309,86,0.0000014469979412893665
327,0.00655650639702405,310,718,0.0000014469979412893665
328,0.0066316977586149415,311,156,0.0000014469979412893665
329,0.006707591895267839,312,430,0.0000014469979412893665
330,0.006784193217778825,313,87,0.0000014469979412893665
331,0.006861506151081159,314,387,0.0000014986716426537743
332,0.006939535134245257,315,539,0.0000014986716426537743
333,0.007018284620478701,316,284,0.0000014986716426537743
334,0.0070977590771262545,317,467,0.0000014986716426537743
335,0.0071779629856698265,318,349,0.0000014986716426537743
336,0.007258135860775776,317,358,0.0000014986716426537743
337,0.007339041227268634,318,440,0.0000015515611403751218
338,0.007420683580767496,319,470,0.0000015515611403751218
339,0.0075030674310286195,320,79,0.0000015515611403751218
340,0.007586197301945425,321,280,0.0000015515611403751218
341,0.0076700777315484945,322,496,0.0000015515611403751218
342,0.007754713272005585,323,198,0.0000016056805716203494
343,0.007840108489621618,324,241,0.0000016056805716203494
344,0.00792626796483869,325,300,0.0000016056805716203494
345,0.00801319629223605,326,557,0.0000016056805716203494
346,0.008100898080530121,327,309,0.0000016610440735563983
347,0.008189377952574494,328,561,0.0000016610440735563983
348,0.008278454043141245,327,429,0.0000016610440735563983
349,0.00836831466400643,328,280,0.0000017176657833502102
350,0.008457952254569743,327,716,0.000001775559838168726
351,0.00854794653763597,326,371,0.0000018347403751788868
352,0.008638086954240667,325,526,0.0000018347403751788868
353,0.008729013173488821,326,8,0.0000018952215315476334
354,0.00882072980409684,327,168,0.0000018952215315476334
355,0.008913241468918318,328,119,0.0000018952215315476334
356,0.009006552804944038,329,308,0.0000019570174444419075
357,0.009100668463301887,330,580,0.0000019570174444419075
358,0.009195593109256973,331,226,0.0000019570174444419075
359,0.009291331422211552,332,239,0.0000020201422510286505
360,0.009385753755775666,329,434,0.0000020201422510286505
361,0.009480225086404203,328,208,0.0000020201422510286505
362,0.009575503976776107,329,472,0.0000020201422510286505
363,0.009671595078019325,330,310,0.0000020201422510286505
364,0.009765924242940895,327,610,0.0000020201422510286505
365,0.009861058083623801,328,69,0.0000020846100884748027
366,0.009957001237058775,329,262,0.0000020846100884748027
367,0.010053758354373754,330,302,0.0000021504350939473055
368,0.010151334100833818,331,518,0.0000021504350939473055
369,0.010249733155841219,332,293,0.0000021504350939473055
370,0.010348960212935396,333,348,0.0000021504350939473055
371,0.01044901997979294,334,656,0.0000021504350939473055
372,0.010549917178227588,335,154,0.0000021504350939473055
373,0.01065165654419031,336,377,0.0000021504350939473055
374,0.010754242827769156,337,116,0.0000021504350939473055
375,0.010857680793189408,338,448,0.0000022176314046131004
376,0.01096197521881347,339,372,0.0000022176314046131004
377,0.011067130897140948,340,525,0.0000022862131576391287
378,0.011173152634808605,341,335,0.0000022862131576391287
379,0.011280045252590378,342,458,0.0000022862131576391287
380,0.011387813585397335,343,647,0.0000022862131576391287
381,0.011496462482277746,344,282,0.000002356194490192331
382,0.011605996806417062,345,634,0.000002356194490192331
383,0.011716421435137847,346,262,0.0000024275895394396488
384,0.011827741259899872,347,150,0.0000024275895394396488
385,0.011939961186300077,348,417,0.0000024275895394396488
386,0.012053086134072542,349,249,0.0000024275895394396488
387,0.012167121037088545,350,285,0.0000024275895394396488
388,0.01228207084335649,351,326,0.000002500412442548023
389,0.012397940515021995,352,273,0.000002500412442548023
390,0.012512809923221546,351,247,0.000002500412442548023
391,0.012625416680208378,346,217,0.000002574677336684395
392,0.012738925475625237,347,222,0.000002650398359015706
393,0.012853341215069071,348,444,0.000002650398359015706
394,0.012968668818273963,349,126,0.000002650398359015706
395,0.0130849132191112,350,120,0.000002650398359015706
396,0.013202079365589179,351,511,0.000002650398359015706
397,0.013319058361895002,350,125,0.000002650398359015706
398,0.013436961690943135,351,156,0.0000027275896467088966
399,0.013555794314879178,352,214,0.0000027275896467088966
400,0.013675561209985886,353,339,0.0000027275896467088966
401,0.013795101455675982,352,138,0.000002806265336930909
402,0.013915578418266643,353,701,0.000002806265336930909
403,0.014036997088177773,354,333,0.000002806265336930909
404,0.014159362469966491,355,113,0.000002806265336930909
405,0.014282679582327042,356,107,0.000002806265336930909
406,0.014405854910684144,355,310,0.0000028864395668486827
407,0.014529984160873952,356,147,0.0000028864395668486827
408,0.01465398702243513,355,496,0.0000028864395668486827
409,0.014778946916005757,356,252,0.0000028864395668486827
410,0.014904868874417247,357,249,0.000002968126473629161
411,0.015031757944638196,358,173,0.0000030513401944392825
412,0.015158858221777064,357,317,0.0000030513401944392825
413,0.015286930035658659,358,289,0.0000030513401944392825
414,0.015414576869808638,357,131,0.0000030513401944392825
415,0.015543196640280874,358,379,0.0000030513401944392825
416,0.015672794408181114,359,243,0.0000030513401944392825
417,0.01580266141606956,358,360,0.000003136094866445991
418,0.015932123756979093,356,252,0.000003136094866445991
419,0.01606256423668832,357,149,0.000003136094866445991
420,0.016192773995476868,356,355,0.000003136094866445991
421,0.01632396391467997,357,488,0.000003222404626816226
422,0.01645613904126622,358,184,0.000003222404626816226
423,0.016589304436341414,359,227,0.000003222404626816226
424,0.01672346517514845,360,121,0.0000033102836127169293
425,0.016856345673323024,357,361,0.0000033102836127169293
426,0.016990216242066227,358,63,0.000003399745961315042
427,0.017124281550284025,358,602,0.000003399745961315042
428,0.017259342301193824,359,195,0.000003399745961315042
429,0.0173940785452175,358,452,0.000003399745961315042
430,0.017529173941611097,357,153,0.000003399745961315042
431,0.0176633703956142,356,515,0.000003399745961315042
432,0.017798169531181195,356,76,0.000003399745961315042
433,0.017933961776807655,357,264,0.0000034908058097775046
434,0.01806918670734954,355,421,0.0000034908058097775046
435,0.01820540496000843,356,139,0.0000034908058097775046
436,0.018342621567615697,357,389,0.0000034908058097775046
437,0.018479766978094076,356,194,0.0000034908058097775046
438,0.01861791331648526,357,408,0.000003583477295271259
439,0.01875706562975783,358,891,0.000003583477295271259
440,0.01889722897901756,359,247,0.000003583477295271259
441,0.019038408439507364,360,63,0.000003677774554963246
442,0.019180609100607357,361,372,0.000003677774554963246
443,0.019323836065834817,362,255,0.000003677774554963246
444,0.019467327014380562,362,170,0.000003677774554963246
445,0.0196108859603431,361,392,0.000003677774554963246
446,0.019755474575078848,362,459,0.000003677774554963246
447,0.019901097976242163,363,226,0.000003677774554963246
448,0.02004776129562474,364,313,0.0000037737117260204067
449,0.020195469679155295,365,552,0.0000037737117260204067
450,0.02034422828689974,366,67,0.0000037737117260204067
451,0.020492158779460104,365,395,0.0000037737117260204067
