t,S′ [м²],N активних,T життя [с]
277,0.001223807418206,170,36
278,0.001215796356939,171,66
279,0.001226509187888,170,97
280,0.00123728485069,171,162
281,0.001248123345345,172,2
282,0.001249788389451,173,132
283,0.001252458743207,172,107
284,0.001231158745015,171,152
285,0.001221576887422,169,89
286,0.00121805830365,168,12
287,0.001207596800113,168,83
288,0.001210110074236,167,183
289,0.001207188393068,167,245
290,0.001199868482186,166,128
291,0.001210267153869,165,75
292,0.001220728657405,166,151
293,0.001231252992795,167,60
294,0.001241840160037,168,425
295,0.001240489275197,169,61
296,0.001234551665081,168,166
297,0.001196726889532,167,16
298,0.001196035739148,163,84
299,0.001189187067163,163,225
300,0.001173196360557,163,54
301,0.00118340653668,162,78
302,0.001193679544658,163,113
303,0.001204015384488,164,65
304,0.001214414056172,165,207
305,0.001224875559708,166,32
306,0.001235399895098,167,59
307,0.00124598706234,168,97
308,0.001256637061436,169,82
309,0.001267349892385,170,230
310,0.001254123787313,171,56
311,0.001261286618563,170,210
312,0.001242154319303,170,4
313,0.001226540603815,167,248
314,0.001223461843014,166,92
315,0.001224247241177,166,128
316,0.001234645912861,165,162
317,0.001209481755705,166,24
318,0.001219880427389,165,35
319,0.001208287950497,166,337
320,0.001201784853704,165,222
321,0.001212120693535,164,131
322,0.001195847243589,165,69
323,0.001182998129636,163,82
324,0.001166441936351,162,121
325,0.001127643267079,161,192
326,0.001119695037666,156,355
327,0.001110521587117,155,246
328,0.00112029194027,155,90
329,0.001130125125276,156,5
330,0.001111998135665,157,63
331,0.001121831320671,156,74
332,0.001131727337529,157,75
333,0.001130313620835,158,231
334,0.001111683976399,157,66
335,0.001121517161405,156,124
336,0.001103547251427,157,196
337,0.001113317604579,155,265
338,0.001115139728318,156,65
339,0.001105620702578,156,83
340,0.00111385167533,155,232
341,0.001102761853263,155,150
342,0.001112469374563,154,93
343,0.001094876455703,155,108
344,0.001095881765352,153,9
345,0.001105526454798,153,274
346,0.001108479551893,154,170
347,0.001118187073192,154,21
348,0.001115610967216,155,10
349,0.001104741056635,155,267
350,0.001114511409788,155,82
351,0.001124344594793,156,103
352,0.001127611851153,157,178
353,0.001133957868313,155,43
354,0.001143728221466,155,185
355,0.00110269902141,156,135
356,0.001112280879004,152,17
357,0.00110106539323,153,53
358,0.001070403448931,152,153
359,0.001079859642818,150,175
360,0.001060790175411,151,98
361,0.001062109644326,150,107
362,0.001055166724561,150,166
363,0.00105309327341,149,41
364,0.001044328229906,149,69
365,0.001020232214254,148,24
366,0.001003424693557,145,48
367,0.001007037525108,144,88
368,0.001016053896024,143,134
369,0.00099868088865,144,257
370,0.001007697259565,143,148
371,0.000985109208386,144,94
372,0.000963055227958,143,100
373,0.000956929122284,141,85
374,0.00096575699764,140,55
375,0.00095143133514,141,44
376,0.000960196378643,139,23
377,0.000934592398516,140,116
378,0.000906726471679,139,120
379,0.000915303019623,136,102
380,0.000923942399421,137,120
381,0.000903836206438,138,2
382,0.000898024260029,136,11
383,0.00090653797612,135,156
384,0.000915114524064,136,56
385,0.000923753903862,137,65
386,0.000932456115512,138,33
387,0.000941221159015,139,71
388,0.000935409212607,140,124
389,0.000901008773049,139,102
390,0.000905218507206,136,134
391,0.000899877799694,136,27
392,0.000885489305341,136,85
393,0.000893940189579,134,145
394,0.00090245390567,135,97
395,0.000900474702298,136,177
396,0.000892683552518,135,129
397,0.000901197268609,135,95
398,0.000900349038592,136,85
399,0.000904684436454,135,97
400,0.000913198152546,135,215
401,0.00092177470049,136,128
402,0.000913072488839,137,33
403,0.000912915409207,136,32
404,0.000901668507507,135,161
405,0.000904244613483,133,126
406,0.000907888860961,133,100
407,0.000916276913346,133,117
408,0.000924727797584,134,17
409,0.000929880009536,135,36
410,0.000938393725627,135,252
411,0.000946970273571,136,208
412,0.000955609653369,137,157
413,0.000952939299613,138,31
414,0.000916905231877,137,98
415,0.000925356116114,134,114
416,0.000898872490045,135,259
417,0.000876410102572,134,78
418,0.000879771606711,131,131
419,0.000887971163537,130,163
420,0.000896233552216,131,163
421,0.000899312313017,132,72
422,0.000886306119431,132,100
423,0.000894631339962,132,67
424,0.000876849925543,133,50
425,0.000865603023844,131,90
426,0.000853162316936,131,88
427,0.000861424705614,131,94
428,0.000866262758301,132,19
429,0.000874587978833,132,131
430,0.000882976031218,133,37
431,0.000874713642539,134,124
432,0.000856303909589,133,11
433,0.000864566298268,131,226
434,0.000862869838235,132,3
435,0.000861487537467,130,60
436,0.000869467182807,130,159
437,0.000849518069457,130,161
438,0.000843611875269,129,141
439,0.000833967185822,129,17
440,0.000842041078942,128,13
441,0.000824542407861,129,191
442,0.000802394179653,128,63
443,0.000788414092345,125,136
444,0.000763658342235,124,188
445,0.000771355244236,122,41
446,0.000753982236862,123,148
447,0.000761679138863,122,81
448,0.000769438872717,123,143
449,0.000735509672058,124,182
450,0.000736389318001,122,113
451,0.000735823831324,122,9
452,0.000720901266219,122,79
453,0.000710188435271,121,157
454,0.000712199054569,120,235
455,0.000718670735435,120,150
456,0.00072624197373,120,3
457,0.000717822505419,121,124
458,0.000695894188697,119,8
459,0.000702680028829,117,57
460,0.000710062771564,117,180
461,0.000707046842617,118,11
462,0.000714492417206,118,229
463,0.000708334895605,119,106
464,0.000697087993905,119,1
465,0.00070393666589,117,65
466,0.000708963214136,117,114
467,0.000709591532666,117,159
468,0.000698281799113,117,79
469,0.000705664541849,117,121
470,0.000701580471399,118,74
471,0.000681976933241,118,257
472,0.000689296844124,116,6
473,0.00069350657828,117,152
474,0.000683013658817,117,149
475,0.000690396401553,117,103
476,0.000692469852704,118,39
477,0.000689296844124,118,100
478,0.00069667958686,117,121
479,0.000704125161449,118,26
480,0.000681788437682,119,192
481,0.000689234012271,118,95
482,0.000691370295275,119,5
483,0.000698878701718,119,120
484,0.000706449940013,120,48
485,0.000711476488258,121,158
486,0.000718764983215,121,34
487,0.000726399053363,121,35
488,0.000734095955364,122,78
489,0.000729100823045,123,88
490,0.000714775160545,122,135
491,0.000716345956872,120,131
492,0.000712041974936,120,14
493,0.000700292418412,119,72
494,0.000699067197277,119,35
495,0.000700386666191,118,139
496,0.00070783224078,118,114
497,0.000707769408927,119,45
498,0.000715277815369,119,85
499,0.000701109232501,120,92
500,0.000708617638944,119,69
501,0.000707737993,120,133
502,0.000715309231296,120,14
503,0.000722943301444,121,91
504,0.000724985336669,122,21
505,0.000725393743714,121,22
506,0.000732964982009,120,109
507,0.000740599052157,121,134
508,0.000748295954158,122,219
509,0.000739687990288,123,101
510,0.000724765425183,123,5
511,0.000718450823949,122,18
512,0.000726084894098,121,31
513,0.000728221177103,122,166
514,0.000727404363012,122,218
515,0.000719738876937,120,126
516,0.00071508931981,118,26
517,0.000713204364218,118,27
518,0.000720649938807,118,33
519,0.000725990646318,119,80
520,0.000714335337573,119,91
521,0.000713235780145,118,5
522,0.000720618522881,117,112
523,0.000698061887627,118,52
524,0.000695894188697,116,34
525,0.000702805692535,115,38
526,0.000708649054871,115,145
527,0.000700323834338,115,63
528,0.000688857021152,114,180
529,0.000661148173948,111,119
530,0.000655084900127,109,60
531,0.000626307911419,108,40
532,0.000632999503772,106,32
533,0.000590336675536,107,260
534,0.000596965436035,105,63
535,0.000603657028387,106,37
536,0.000610411452593,107,7
537,0.000608086674029,108,170
538,0.000578932694204,108,75
539,0.000585624286556,106,53
540,0.000592378710761,107,257
541,0.00058069198609,108,37
542,0.00056781145621,106,195
543,0.000567968535842,104,82
544,0.000574471632636,103,49
545,0.000581037561282,104,164
546,0.000582671189461,105,75
547,0.00058929994996,105,82
548,0.000587729153633,106,6
549,0.000594420745986,106,145
550,0.000599070303113,107,48
551,0.000605824727318,107,67
552,0.000612641983377,108,91
553,0.000619113664243,109,160
554,0.000618171186447,109,132
555,0.000625051274358,109,123
556,0.000631994194123,110,115
557,0.000636832246809,111,77
558,0.000643837998427,111,8
559,0.000624203044342,112,9
560,0.000615595080471,111,97
561,0.000622600832088,111,154
562,0.000620118973892,112,124
563,0.000610537116299,111,152
564,0.000602777382444,110,159
565,0.000604191099139,109,6
566,0.000611008355197,108,83
567,0.000617291540504,109,62
568,0.000603217205416,109,15
569,0.000609971629621,107,23
570,0.000613835788585,108,6
571,0.000571015880716,107,129
572,0.00056209375758,104,215
573,0.000568659686226,104,137
574,0.000571989774439,105,66
575,0.000572209685925,105,22
576,0.000566900394341,104,52
577,0.00056454419985,103,118
578,0.000553517209636,102,77
579,0.000552700395546,101,128
580,0.000551255262926,101,58
581,0.000547359688035,101,37
582,0.000537118095984,101,10
583,0.000543369865365,99,69
584,0.000549684466599,100,63
585,0.000556061899685,101,2
586,0.000562345084993,102,128
587,0.000568785349932,102,221
588,0.000575288446726,103,5
589,0.000566429155442,104,107
590,0.000558041103057,102,103
591,0.000558920749,101,24
592,0.000561716766462,99,104
593,0.000552826059252,98,110
594,0.000548930484361,97,65
595,0.000555056590036,97,8
596,0.000555841988199,98,22
597,0.000548773404729,97,106
598,0.00054214464423,96,134
599,0.000548145086198,95,12
600,0.00055420836002,96,23
601,0.000543652608704,97,112
602,0.000541673405332,97,51
603,0.000547736679153,96,84
604,0.000544406590941,97,136
605,0.000550532696615,97,67
606,0.000556721634143,98,167
607,0.000562973403523,99,40
608,0.000569288004757,100,19
609,0.000552197740722,101,19
610,0.000551914997382,99,7
611,0.00055810393491,98,72
612,0.000559611899384,99,208
613,0.000565863668765,99,42
614,0.00055021853735,100,179
615,0.000539599954181,98,45
616,0.00054531765281,98,110
617,0.000516132257058,98,109
618,0.000491784913993,95,48
619,0.000497722524108,94,46
620,0.00049897916117,95,99
621,0.000496717214459,95,68
622,0.000491847745846,95,111
623,0.000497785355961,94,208
624,0.000480506596367,95,56
625,0.000460180491898,93,199
626,0.000464767217172,92,5
627,0.00046605527016,92,39
628,0.00046269376602,91,28
629,0.000468380048724,90,14
630,0.000462316774902,91,16
631,0.000444126953438,90,64
632,0.000449750404288,89,72
633,0.000401244213717,90,56
634,0.000406679169007,86,94
635,0.000412176956151,87,8
636,0.000417737575148,88,148
637,0.000419685362593,89,73
638,0.000425308813443,89,49
639,0.000415475628437,90,170
640,0.000404699965636,89,169
