"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
111,0.06393053085460931,69,91.5,0.0000031360948664460113
112,0.06529455393430501,70,36.5,0.0000031360948664460113
113,0.06661617965034416,70,20,0.0000031360948664460113
114,0.06787979998137518,69,64.5,0.0000031360948664460113
115,0.0691846236745048,70,65.5,0.0000031360948664460113
116,0.07053069991529297,70,36.5,0.000003583477295271282
117,0.07186668133531227,69,18.5,0.000003583477295271282
118,0.07324147664169275,69,65.5,0.000003583477295271282
119,0.07465572200694695,70,18.5,0.000003583477295271282
120,0.07606169536239467,69,46,0.000003583477295271282
121,0.07741357049234751,68,18,0.000004071504079052372
122,0.07876257224311965,69,49,0.000004071504079052372
123,0.0801542334841853,70,42,0.000004071504079052372
124,0.0814415185491028,66,72.5,0.000004071504079052372
125,0.0826757677377163,67,72,0.000004071504079052372
126,0.08388591953623004,66,44,0.000004071504079052372
127,0.0850571369879391,65,33.5,0.000004071504079052372
128,0.08623029830010266,64,80,0.000004071504079052372
129,0.08734223183676838,62,40.5,0.000004071504079052372
130,0.08844421604767488,61,9,0.000004601942363656924
131,0.08957527510954182,62,37,0.000004601942363656924
132,0.0907427238281639,63,43.5,0.000004601942363656924
133,0.09189780871072296,61,46.5,0.000004601942363656924
134,0.09307900140633059,61,43.5,0.000005176559294952581
135,0.09428801280671104,62,31,0.000005176559294952581
136,0.09547009879455481,60,46.5,0.000005176559294952581
137,0.09668834824448265,61,19,0.000005176559294952581
138,0.09791561661787035,60,49,0.000005176559294952581
139,0.09912851927345132,57,58.5,0.000005176559294952581
140,0.10026478287442275,56,120.5,0.000005176559294952581
141,0.10135293475105035,54,44.5,0.000005176559294952581
142,0.1023315397827211,52,94,0.000005176559294952581
143,0.10333997482568628,53,25,0.000005176559294952581
144,0.10435926662381367,52,69,0.00000579712201880699
145,0.10540892564557929,53,31,0.00000579712201880699
146,0.10648969409224754,54,51.5,0.00000579712201880699
147,0.10758309674829651,52,48.5,0.00000579712201880699
