"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
154,0.11565414819929237,56,11.5,0.0000020201422510286615
155,0.11678948080891588,57,40,0.0000020201422510286615
156,0.11793539508799482,57,45.5,0.0000020201422510286615
157,0.11895980130078748,54,12.5,0.0000020201422510286615
158,0.1198730773059259,52,23.5,0.0000020201422510286615
159,0.12074980284403523,52,25.5,0.0000023561944901923448
160,0.12160007067421418,52,39,0.0000023561944901923448
161,0.12247281659982956,52,34.5,0.0000023561944901923448
162,0.12336119823208186,52,80.5,0.0000023561944901923448
163,0.12415539098958873,51,30.5,0.0000023561944901923448
164,0.12485336618889409,52,14,0.0000023561944901923448
165,0.12550695775258772,52,40,0.0000023561944901923448
166,0.12618376254439867,52,31.5,0.000002727589646708913
167,0.12688536451607307,53,15,0.000002727589646708913
168,0.12758791956841875,51,10.5,0.000002727589646708913
169,0.128305127794299,51,52.5,0.000002727589646708913
170,0.1290395913160038,49,104,0.0000031360948664460113
171,0.12979799465730185,50,51,0.0000031360948664460113
172,0.13058202927131288,51,81,0.0000031360948664460113
173,0.13139240908496735,52,19.5,0.0000031360948664460113
174,0.13222986216236274,53,52.5,0.0000031360948664460113
175,0.13309513070476356,54,24,0.0000031360948664460113
176,0.1338835066071227,53,51.5,0.0000031360948664460113
177,0.1346875962650613,53,24.5,0.0000031360948664460113
178,0.1353967121409649,49,63.5,0.0000031360948664460113
179,0.13606912498624624,48,21,0.000003583477295271282
180,0.13675837519735437,48,77.5,0.000003583477295271282
181,0.13746693353873676,48,26,0.000003583477295271282
182,0.13813088175531207,44,26.5,0.000003583477295271282
183,0.13879708661716025,45,48,0.000004071504079052372
184,0.13948514105956472,46,11,0.000004071504079052372
185,0.1401909093721464,46,16,0.000004071504079052372
186,0.14091945324971886,47,35.5,0.000004071504079052372
187,0.14165902264488386,47,63,0.000004071504079052372
188,0.14235828432638095,44,4.5,0.000004071504079052372
189,0.14301390368995767,44,57.5,0.000004071504079052372
190,0.1436763904769004,45,94.5,0.000004071504079052372
191,0.14435985034004883,46,41.5,0.000004071504079052372
192,0.14506492652049904,47,30.5,0.000004071504079052372
193,0.14578927107044143,46,58,0.000004601942363656924
194,0.14646139881618936,44,28,0.000004601942363656924
195,0.14714817796832597,43,47,0.000004601942363656924
196,0.14778376702801732,42,52,0.000004601942363656924
197,0.14843890837863677,43,26.5,0.000004601942363656924
198,0.1490797918073476,42,50,0.000004601942363656924
199,0.14970505160491818,40,53,0.000004601942363656924
200,0.15029702279220705,39,34.5,0.000004601942363656924
201,0.1508781448819658,38,88.5,0.000004601942363656924
202,0.15142139350148923,36,1.5,0.000004601942363656924
203,0.151980094633528,37,73.5,0.000004601942363656924
204,0.1525296487240314,36,36.5,0.000005176559294952581
205,0.15306395587998886,36,14,0.000005176559294952581
206,0.1536078907411575,37,52.5,0.000005176559294952581
207,0.15403038203686412,36,52.5,0.000005176559294952581
208,0.15432960253828149,37,60,0.000005176559294952581
209,0.1546143389231189,36,36.5,0.000005176559294952581
210,0.15491203967909006,37,63.5,0.000005176559294952581
211,0.1552232208127882,38,4.5,0.000005176559294952581
212,0.1555484124679736,39,35,0.000005176559294952581
213,0.15586098670166412,39,43,0.000005176559294952581
214,0.15618779058292948,40,28.5,0.00000579712201880699
215,0.1565293825298639,41,10,0.00000579712201880699
216,0.15688615779409312,41,51,0.00000579712201880699
217,0.15725880261726244,42,4,0.00000579712201880699
218,0.1576479036917999,43,3.5,0.00000579712201880699
219,0.15805334409155392,43,55,0.00000579712201880699
220,0.15847558327445,44,53.5,0.00000579712201880699
221,0.15891584057113692,44,42.5,0.00000579712201880699
222,0.15929475228260154,39,61.5,0.00000579712201880699
223,0.1596708023958578,39,10,0.00000579712201880699
224,0.16005756848165542,39,60.5,0.00000579712201880699
225,0.1604054396869062,38,13,0.00000579712201880699
226,0.16066125967486286,38,5.5,0.000006465397681087794
227,0.1609112339442892,38,40.5,0.000006465397681087794
228,0.16115589263894578,38,25,0.000006465397681087794
229,0.1614141518772484,39,31,0.000006465397681087794
230,0.16168655594012415,40,64.5,0.000006465397681087794
231,0.16196543511998338,40,70,0.000006465397681087794
232,0.16225059090744007,40,91.5,0.000006465397681087794
233,0.16253797653845747,39,43.5,0.000006465397681087794
234,0.16283992021165683,40,19.5,0.000006465397681087794
235,0.1631486567935714,40,79,0.000007183153427662637
236,0.163472916573836,41,62.5,0.000007183153427662637
237,0.1638132721077117,42,15,0.000007183153427662637
238,0.16416968952490268,42,21,0.000007183153427662637
239,0.16454262474904294,43,82.5,0.000007183153427662637
240,0.16493325322665867,44,19.5,0.000007183153427662637
241,0.1653325124446919,44,79,0.000007183153427662637
242,0.16571333473536373,43,16.5,0.000007183153427662637
243,0.16605156262561477,42,25,0.000007952156404399163
244,0.16640628917873482,43,50.5,0.000007952156404399163
245,0.16677811522431873,44,39.5,0.000007952156404399163
246,0.16715797824930875,44,8,0.000007952156404399163
247,0.16752748373784418,43,37.5,0.000007952156404399163
248,0.16789126161209827,42,13.5,0.000007952156404399163
249,0.16825309916018974,43,53,0.000007952156404399163
250,0.1686176707774627,43,32.5,0.000007952156404399163
251,0.1689729242345756,43,23.5,0.000007952156404399163
252,0.1693219252350844,42,45,0.000007952156404399163
253,0.16965075544361136,41,23.5,0.000008774173757165017
254,0.16996641246326794,40,13.5,0.000008774173757165017
255,0.17029713999740811,41,9.5,0.000008774173757165017
256,0.17063711176610621,41,46,0.000008774173757165017
257,0.170986451469573,42,71,0.000009650972631827845
258,0.17130919916202353,42,18.5,0.000009650972631827845
259,0.17162435607939952,40,33.5,0.000009650972631827845
260,0.17192705344031145,38,79,0.000009650972631827845
261,0.17224068796152245,39,30.5,0.000009650972631827845
262,0.17256775985991113,39,30.5,0.000009650972631827845
263,0.17291000859605968,40,38,0.000009650972631827845
264,0.17325492218817662,40,20.5,0.000009650972631827845
265,0.1736148211772513,40,28.5,0.000009650972631827845
266,0.17399083712568747,41,8.5,0.000009650972631827845
267,0.17437425947697918,41,53,0.000009650972631827845
268,0.17473677502003518,38,8.5,0.000009650972631827845
269,0.17509963515653537,39,32,0.000009650972631827845
270,0.1754781669316384,40,14.5,0.000010584320174255287
271,0.1758729287634385,41,43.5,0.000010584320174255287
272,0.1762844932071968,42,36.5,0.000010584320174255287
273,0.17671344695534139,43,45,0.000010584320174255287
274,0.17706162505492454,40,100.5,0.000010584320174255287
275,0.17737118100347304,39,23,0.000010584320174255287
276,0.17769548967477333,40,34,0.000010584320174255287
277,0.17797551838301937,36,32,0.000010584320174255287
278,0.178268992126075,37,6,0.000010584320174255287
279,0.17857642691053388,38,30.5,0.000010584320174255287
280,0.1788983528801559,39,9.5,0.000010584320174255287
281,0.1792353143158684,40,30,0.000010584320174255287
282,0.17958786963576576,41,23,0.000010584320174255287
283,0.1799488931186608,41,69.5,0.00001157598353031499
284,0.1802988857825257,40,22,0.00001157598353031499
285,0.18054832814104596,35,46,0.00001157598353031499
286,0.1808103743729429,36,31,0.00001157598353031499
287,0.18108552634764286,37,59,0.00001157598353031499
288,0.18137430007173935,38,42,0.00001157598353031499
289,0.18167722568899242,39,17,0.00001157598353031499
290,0.18193814919421478,38,33.5,0.00001157598353031499
291,0.1822129135749212,39,55.5,0.00001157598353031499
