"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
216,0.001294501308740634,213,644,0.000015907302819606378
217,0.001317910374319255,214,400,0.000015907302819606378
218,0.0013416465480227562,215,345,0.000016161138008229292
219,0.001365712869342029,216,447,0.000016161138008229292
220,0.001390112391905132,217,340,0.00001641765925857103
221,0.0014148481834772902,218,286,0.00001641765925857103
222,0.0014399233259609005,219,215,0.00001641765925857103
223,0.0014653409153955182,220,279,0.000016676880707798523
224,0.0014911040619578753,221,650,0.000016676880707798523
225,0.0015172158899618624,222,594,0.000016938816493078717
226,0.001543679537858544,223,452,0.00001720348075157856
227,0.0015704981582361417,224,503,0.00001720348075157856
228,0.0015976749178200566,225,896,0.000017470887620464983
229,0.0016252129974728478,226,414,0.000017470887620464983
230,0.0016531155921942452,227,642,0.000017741051236904932
231,0.0016813859111211422,228,362,0.000017741051236904932
232,0.001710027177527602,229,366,0.000017741051236904932
233,0.001739042628824857,230,229,0.000018013985738065346
234,0.0017684355165612994,231,594,0.000018013985738065346
235,0.0017982091064224943,232,604,0.000018013985738065346
236,0.0018283666782311732,233,462,0.00001828970526111317
237,0.001858911525947233,234,893,0.000018568223943215337
238,0.0018898469576677376,235,197,0.000018568223943215337
239,0.0019211762956269163,236,512,0.0000188495559215388
240,0.0019525030865398527,235,322,0.00001913371533325049
241,0.0019842262294213447,236,537,0.000019420716315517356
242,0.002016349060642793,237,549,0.00001971057300550633
243,0.0020488749307127603,238,177,0.00001971057300550633
244,0.00208180720427698,239,310,0.00001971057300550633
245,0.00211514926011835,240,549,0.00002059741869347535
246,0.002148904491156937,241,528,0.000020898839586022195
247,0.0021830763044499726,242,346,0.000020898839586022195
248,0.0022176681211918585,243,282,0.00002120318687212585
249,0.00225268337671416,244,171,0.00002120318687212585
250,0.0022881255204856114,245,532,0.00002120318687212585
251,0.002323998016112113,246,316,0.00002151047468895327
252,0.002360304341336731,247,253,0.000021820717173671396
253,0.002397047988039702,248,638,0.00002213392846344716
254,0.002434232462238425,249,235,0.00002213392846344716
255,0.0024718612840874737,250,422,0.00002213392846344716
256,0.002509937987878576,251,568,0.00002213392846344716
257,0.0025484661220406394,252,451,0.00002213392846344716
258,0.00258744924913973,253,395,0.000022450122695447505
259,0.002626890945879088,254,470,0.000022450122695447505
260,0.0026667948030991116,255,213,0.000022450122695447505
261,0.002707164425777375,256,147,0.000022450122695447505
262,0.0027480034330286114,257,506,0.000022769314006839382
263,0.0027893154581047257,258,407,0.000022769314006839382
264,0.0028311041483947918,259,312,0.000023416744416465462
265,0.002873373165425043,260,623,0.000023416744416465462
266,0.0029161261848588862,261,395,0.000023416744416465462
267,0.0029593668964968934,262,319,0.000023416744416465462
268,0.0030030990042768033,263,262,0.000023745011789033553
269,0.0030473262262735216,264,160,0.000024410721555514548
270,0.0030920522946991176,265,460,0.000024410721555514548
271,0.0031372809559028323,266,125,0.000025088758931568236
272,0.0031830159703710743,267,296,0.000025088758931568236
273,0.003229261112727418,268,341,0.000025432435816102184
274,0.0032760201717325975,269,415,0.000025432435816102184
