"t","S [м²]","N активних","T життя [с]"
465,0.5688725291285691,12,30
466,0.5697403940991231,13,5.5
467,0.5706899404786707,14,0.5
468,0.5714612014751271,10,4
469,0.5721280045158514,10,4.5
470,0.5726754270357395,9,3
471,0.5732793982233922,10,2.5
472,0.5738260353451169,8,17
473,0.5744009468007237,8,2
474,0.5748910352546838,6,24
475,0.5753371414114936,6,12
476,0.5758154488930026,7,4.5
477,0.5763377386716619,8,13
478,0.5769102939327786,9,12
479,0.5775393978616599,10,19.5
480,0.578231333643613,11,9
481,0.5787976057194225,10,17.5
482,0.5794267096483039,11,2.5
483,0.5801249286155642,12,20
484,0.5807563887389358,12,8.5
485,0.5813038112588239,12,6
486,0.581926632002398,13,0.5
487,0.5720180487729758,12,1.5
488,0.572716267740236,13,23
489,0.5734003495405552,11,12
490,0.5739933251539202,10,6.5
491,0.5745525286462593,10,15.5
492,0.5751564998339118,11,4
493,0.5757730373921788,11,2.5
494,0.5764586899888248,12,3.5
495,0.5771247076313858,12,7
496,0.5777404597914895,11,1.5
497,0.5783695637203708,11,1.5
498,0.5540693445448539,9,2
499,0.5543842892083763,7,7.5
500,0.5547361475855783,7,31.5
501,0.5448809714312675,7,13.5
502,0.5452171218452014,7,12.5
503,0.5455124315546389,7,4
504,0.5457896771063182,8,4.5
505,0.546117188140455,9,9
506,0.5465012478423562,10,25.5
507,0.5467839911811793,8,1.5
508,0.5471052190300089,9,29
509,0.5474390132494527,8,9
510,0.5478230729513541,9,13.5
511,0.5481906392918241,9,15.5
512,0.5485432830671896,10,3.5
513,0.5489587586956267,11,0.5
514,0.5494080064450901,10,10
515,0.5497229511086124,9,18.5
516,0.5500693116986708,9,2
517,0.5504722209564936,10,2
518,0.5439573431911117,9,43.5
519,0.5444034493479213,9,0.5
520,0.5424313145596307,9,0.5
521,0.5429724538942114,9,4
522,0.5435701418965568,10,3.5
523,0.5442306617519741,11,8
524,0.5448401307267705,10,9.5
525,0.5454684492574885,10,4.5
526,0.5461226859275985,10,14.5
527,0.5467392234858655,10,1
528,0.5474146659063873,10,3.5
529,0.5481505839854907,11,7.5
530,0.5489242011764371,11,0.5
531,0.5497347320810633,10,5
532,0.5466685376511595,8,3
533,0.5471782610592044,9,15
534,0.5475623207611058,8,5
535,0.5479864357693405,8,26.5
536,0.5484356835188038,8,3.5
537,0.548778117118045,7,3.5
538,0.5490742122256459,8,2.5
539,0.5494040794542729,8,8
540,0.5497441568590239,8,8
541,0.5499962696694746,6,1
542,0.5502821546009511,6,0.5
543,0.5505970992644735,6,6
544,0.5509497430398389,7,2
545,0.5513463691123548,8,4
546,0.5517861920838572,8,3.5
547,0.5522448646112813,8,9.5
548,0.5526556278507382,7,10.5
549,0.5530067008297769,6,11
550,0.5533404950492207,6,11.5
551,0.5537119883805077,7,4
552,0.5541274640089449,8,2.5
553,0.5545932051198396,9,8.5
554,0.5551154948984989,10,17.5
555,0.5556684152055308,9,7.5
556,0.5562661032078763,10,9
557,0.5568637912102216,10,9
558,0.5575243110656389,11,1
559,0.5581809039302392,10,4.5
560,0.5588626295360681,10,13
561,0.5595734148739429,11,4.5
562,0.559775262201936,8,5.5
563,0.5599771095299291,8,3.5
564,0.5601978064138438,8,16.5
565,0.5604397090481701,8,3
566,0.5606439125706535,7,13
567,0.5608394767133393,7,8
568,0.5536413025458018,6,25
569,0.5538619994297164,7,14.5
570,0.5541266786107815,8,1
571,0.5544376962834867,8,0.5
572,0.554677242723323,7,45
573,0.5549191453576493,7,17.5
574,0.5551649749827928,8,5
575,0.5554351519510015,8,4
576,0.5557312470586023,9,6
577,0.5560838908339677,10,7
578,0.556499366462405,11,5
579,0.5569124858963521,9,6
580,0.5573153951541749,10,13
581,0.5576743221148476,10,3
582,0.5580764459745071,10,2
